student_id,exam_year,exam_type,session_id,category,total_marks,actual_rank,rank_min,rank_max,normalized_marks
1,2025,TS_EAMCET,ALL,OC,1,157192,151776,180424,1.0
2,2025,TS_EAMCET,ALL,OC,2,155418,151776,156876,2.0
3,2025,TS_EAMCET,ALL,OC,3,149190,126140,156874,3.0
4,2025,TS_EAMCET,ALL,OC,4,138957,126139,151775,4.0
5,2025,TS_EAMCET,ALL,OC,5,157051,126139,180423,5.0
6,2025,TS_EAMCET,ALL,OC,6,159689,126138,180423,6.0
7,2025,TS_EAMCET,ALL,OC,7,146117,126137,180421,7.0
8,2025,TS_EAMCET,ALL,OC,8,144694,126134,180421,8.0
9,2025,TS_EAMCET,ALL,OC,9,153798,126134,180420,9.0
10,2025,TS_EAMCET,ALL,OC,10,163018,151767,180420,10.0
11,2025,TS_EAMCET,ALL,OC,11,163819,151765,180417,11.0
12,2025,TS_EAMCET,ALL,OC,12,163216,126133,180416,12.0
13,2025,TS_EAMCET,ALL,OC,13,161010,126132,180412,13.0
14,2025,TS_EAMCET,ALL,OC,14,162450,126130,180408,14.0
15,2025,TS_EAMCET,ALL,OC,15,160060,126127,180405,15.0
16,2025,TS_EAMCET,ALL,OC,16,154674,126121,180397,16.0
17,2025,TS_EAMCET,ALL,OC,17,150428,126113,180392,17.0
18,2025,TS_EAMCET,ALL,OC,18,154135,126107,180387,18.0
19,2025,TS_EAMCET,ALL,OC,19,160185,126104,180384,19.0
20,2025,TS_EAMCET,ALL,OC,20,159586,126094,180371,20.0
21,2025,TS_EAMCET,ALL,OC,21,160255,126088,180356,21.0
22,2025,TS_EAMCET,ALL,OC,22,159061,126070,180337,22.0
23,2025,TS_EAMCET,ALL,OC,23,157736,126045,180307,23.0
24,2025,TS_EAMCET,ALL,OC,24,158765,126013,180268,24.0
25,2025,TS_EAMCET,ALL,OC,25,158245,125968,180214,25.0
26,2025,TS_EAMCET,ALL,OC,26,158690,125907,180127,26.0
27,2025,TS_EAMCET,ALL,OC,27,158857,125818,180026,27.0
28,2025,TS_EAMCET,ALL,OC,28,157423,125684,179848,28.0
29,2025,TS_EAMCET,ALL,OC,29,157022,125534,179626,29.0
30,2025,TS_EAMCET,ALL,OC,30,157164,125314,179344,30.0
31,2025,TS_EAMCET,ALL,OC,31,156422,124998,178960,31.0
32,2025,TS_EAMCET,ALL,OC,32,155555,124574,178419,32.0
33,2025,TS_EAMCET,ALL,OC,33,154865,124073,177743,33.0
34,2025,TS_EAMCET,ALL,OC,34,153988,123490,176852,34.0
35,2025,TS_EAMCET,ALL,OC,35,152825,122759,175762,35.0
36,2025,TS_EAMCET,ALL,OC,36,151413,121864,174474,36.0
37,2025,TS_EAMCET,ALL,OC,37,149759,120878,172900,37.0
38,2025,TS_EAMCET,ALL,OC,38,147942,119805,171070,38.0
39,2025,TS_EAMCET,ALL,OC,39,145941,118551,169151,39.0
40,2025,TS_EAMCET,ALL,OC,40,140166,111636,167069,40.0
41,2025,TS_EAMCET,ALL,OC,41,134073,104325,164862,41.0
42,2025,TS_EAMCET,ALL,OC,42,123690,96712,152495,42.0
43,2025,TS_EAMCET,ALL,OC,43,113190,88774,139590,43.0
44,2025,TS_EAMCET,ALL,OC,44,103032,81120,126931,44.0
45,2025,TS_EAMCET,ALL,OC,45,93237,73116,114470,45.0
46,2025,TS_EAMCET,ALL,OC,46,83846,64761,102397,46.0
47,2025,TS_EAMCET,ALL,OC,47,75101,57147,93591,47.0
48,2025,TS_EAMCET,ALL,OC,48,67011,50193,85299,48.0
49,2025,TS_EAMCET,ALL,OC,49,59670,44122,77448,49.0
50,2025,TS_EAMCET,ALL,OC,50,53120,38880,70083,50.0
51,2025,TS_EAMCET,ALL,OC,51,47342,34349,63364,51.0
52,2025,TS_EAMCET,ALL,OC,52,42178,30348,57121,52.0
53,2025,TS_EAMCET,ALL,OC,53,37673,26905,51493,53.0
54,2025,TS_EAMCET,ALL,OC,54,33775,24029,46451,54.0
55,2025,TS_EAMCET,ALL,OC,55,30383,21526,42053,55.0
56,2025,TS_EAMCET,ALL,OC,56,27371,19301,38035,56.0
57,2025,TS_EAMCET,ALL,OC,57,24766,17463,34507,57.0
58,2025,TS_EAMCET,ALL,OC,58,22483,15838,31397,58.0
59,2025,TS_EAMCET,ALL,OC,59,20502,14419,28698,59.0
60,2025,TS_EAMCET,ALL,OC,60,18750,13146,26283,60.0
61,2025,TS_EAMCET,ALL,OC,61,17167,11991,24159,61.0
62,2025,TS_EAMCET,ALL,OC,62,15738,11001,22260,62.0
63,2025,TS_EAMCET,ALL,OC,63,14497,10083,20589,63.0
64,2025,TS_EAMCET,ALL,OC,64,13357,9227,19097,64.0
65,2025,TS_EAMCET,ALL,OC,65,12348,8474,17720,65.0
66,2025,TS_EAMCET,ALL,OC,66,11488,7795,16541,66.0
67,2025,TS_EAMCET,ALL,OC,67,10637,7201,15429,67.0
68,2025,TS_EAMCET,ALL,OC,68,9914,6631,14444,68.0
69,2025,TS_EAMCET,ALL,OC,69,9218,6105,13521,69.0
70,2025,TS_EAMCET,ALL,OC,70,8557,5592,12648,70.0
71,2025,TS_EAMCET,ALL,OC,71,8010,5158,11879,71.0
72,2025,TS_EAMCET,ALL,OC,72,7469,4753,11138,72.0
73,2025,TS_EAMCET,ALL,OC,73,6980,4365,10458,73.0
74,2025,TS_EAMCET,ALL,OC,74,6497,3996,9839,74.0
75,2025,TS_EAMCET,ALL,OC,75,6057,3658,9230,75.0
76,2025,TS_EAMCET,ALL,OC,76,5692,3371,8675,76.0
77,2025,TS_EAMCET,ALL,OC,77,5323,3119,8132,77.0
78,2025,TS_EAMCET,ALL,OC,78,4933,2856,7645,78.0
79,2025,TS_EAMCET,ALL,OC,79,4581,2614,7186,79.0
80,2025,TS_EAMCET,ALL,OC,80,4308,2383,6792,80.0
81,2025,TS_EAMCET,ALL,OC,81,4083,2206,6404,81.0
82,2025,TS_EAMCET,ALL,OC,82,3834,2007,6036,82.0
83,2025,TS_EAMCET,ALL,OC,83,3572,1842,5676,83.0
84,2025,TS_EAMCET,ALL,OC,84,3385,1689,5351,84.0
85,2025,TS_EAMCET,ALL,OC,85,3154,1528,5039,85.0
86,2025,TS_EAMCET,ALL,OC,86,2910,1399,4726,86.0
87,2025,TS_EAMCET,ALL,OC,87,2757,1281,4464,87.0
88,2025,TS_EAMCET,ALL,OC,88,2654,1189,4222,88.0
89,2025,TS_EAMCET,ALL,OC,89,2507,1080,3972,89.0
90,2025,TS_EAMCET,ALL,OC,90,2340,997,3729,90.0
91,2025,TS_EAMCET,ALL,OC,91,2184,910,3483,91.0
92,2025,TS_EAMCET,ALL,OC,92,1999,831,3283,92.0
93,2025,TS_EAMCET,ALL,OC,93,1888,765,3075,93.0
94,2025,TS_EAMCET,ALL,OC,94,1847,706,2921,94.0
95,2025,TS_EAMCET,ALL,OC,95,1696,647,2732,95.0
96,2025,TS_EAMCET,ALL,OC,96,1582,594,2575,96.0
97,2025,TS_EAMCET,ALL,OC,97,1501,541,2431,97.0
98,2025,TS_EAMCET,ALL,OC,98,1416,496,2296,98.0
99,2025,TS_EAMCET,ALL,OC,99,1348,456,2151,99.0
100,2025,TS_EAMCET,ALL,OC,100,1306,422,2024,100.0
101,2025,TS_EAMCET,ALL,OC,101,1207,392,1882,101.0
102,2025,TS_EAMCET,ALL,OC,102,1090,365,1762,102.0
103,2025,TS_EAMCET,ALL,OC,103,1008,347,1653,103.0
104,2025,TS_EAMCET,ALL,OC,104,959,322,1567,104.0
105,2025,TS_EAMCET,ALL,OC,105,897,296,1491,105.0
106,2025,TS_EAMCET,ALL,OC,106,847,268,1405,106.0
107,2025,TS_EAMCET,ALL,OC,107,812,251,1326,107.0
108,2025,TS_EAMCET,ALL,OC,108,763,229,1245,108.0
109,2025,TS_EAMCET,ALL,OC,109,721,216,1185,109.0
110,2025,TS_EAMCET,ALL,OC,110,683,201,1111,110.0
111,2025,TS_EAMCET,ALL,OC,111,649,184,1051,111.0
112,2025,TS_EAMCET,ALL,OC,112,584,168,985,112.0
113,2025,TS_EAMCET,ALL,OC,113,520,156,924,113.0
114,2025,TS_EAMCET,ALL,OC,114,510,152,878,114.0
115,2025,TS_EAMCET,ALL,OC,115,518,142,837,115.0
116,2025,TS_EAMCET,ALL,OC,116,469,131,800,116.0
117,2025,TS_EAMCET,ALL,OC,117,420,117,757,117.0
118,2025,TS_EAMCET,ALL,OC,118,421,104,724,118.0
119,2025,TS_EAMCET,ALL,OC,119,389,94,688,119.0
120,2025,TS_EAMCET,ALL,OC,120,366,88,639,120.0
121,2025,TS_EAMCET,ALL,OC,121,392,85,609,121.0
122,2025,TS_EAMCET,ALL,OC,122,332,79,575,122.0
123,2025,TS_EAMCET,ALL,OC,123,302,73,542,123.0
124,2025,TS_EAMCET,ALL,OC,124,313,66,522,124.0
125,2025,TS_EAMCET,ALL,OC,125,318,62,493,125.0
126,2025,TS_EAMCET,ALL,OC,126,298,55,461,126.0
127,2025,TS_EAMCET,ALL,OC,127,230,49,427,127.0
128,2025,TS_EAMCET,ALL,OC,128,225,43,405,128.0
