exam_year,exam_type,phase,institute_code,college_name,branch_code,branch_name,category,gender,opening_rank,closing_rank,location,district,college_type,affiliated_to
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,38805,38805,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,OC,GIRLS,38805,38805,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_A,BOYS,94375,94375,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_A,GIRLS,107450,107450,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_B,BOYS,79836,79836,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_B,GIRLS,79836,79836,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_C,BOYS,38805,38805,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_C,GIRLS,38805,38805,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_D,BOYS,61865,61865,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_D,GIRLS,61865,61865,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_E,BOYS,97006,97006,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_E,GIRLS,127071,127071,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,SC_I,BOYS,38805,38805,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,SC_I,GIRLS,87026,87026,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,SC_II,BOYS,64346,64346,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,SC_II,GIRLS,97072,97072,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,SC_III,BOYS,68760,68760,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,SC_III,GIRLS,88071,88071,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,ST,BOYS,136225,136225,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,ST,GIRLS,137171,137171,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,EWS,BOYS,47591,47591,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSE,COMPUTER SCIENCE AND ENGINEERING,EWS,GIRLS,64129,64129,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,23500,23500,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,GIRLS,23874,23874,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_A,BOYS,114378,114378,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_A,GIRLS,114378,114378,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_B,BOYS,85042,85042,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_B,GIRLS,85042,85042,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_C,BOYS,68983,68983,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_C,GIRLS,68983,68983,BANDLAGUDA,HYD,PVT,JNTUH
