maths score,physics score,Chemistry score,Total marks,lowest rank probable,probable highest rank,Expected rank
0,0,1,1,151776,180424,157192
1,0,1,2,151776,156876,155418
2,1,0,3,126140,156874,149190
2,1,1,4,126139,151775,138957
2,1,2,5,126139,180423,157051
3,2,1,6,126138,180423,159689
4,2,1,7,126137,180421,146117
4,2,2,8,126134,180421,144694
4,2,3,9,126134,180420,153798
5,2,3,10,151767,180420,163018
6,3,2,11,151765,180417,163819
6,3,3,12,126133,180416,163216
6,3,4,13,126132,180412,161010
7,4,3,14,126130,180408,162450
8,4,3,15,126127,180405,160060
8,4,4,16,126121,180397,154674
8,4,5,17,126113,180392,150428
9,4,5,18,126107,180387,154135
10,5,4,19,126104,180384,160185
10,5,5,20,126094,180371,159586
10,5,6,21,126088,180356,160255
11,6,5,22,126070,180337,159061
12,6,5,23,126045,180307,157736
12,6,6,24,126013,180268,158765
12,6,7,25,125968,180214,158245
13,6,7,26,125907,180127,158690
14,7,6,27,125818,180026,158857
14,7,7,28,125684,179848,157423
14,7,8,29,125534,179626,157022
15,8,7,30,125314,179344,157164
16,8,7,31,124998,178960,156422
16,8,8,32,124574,178419,155555
16,8,9,33,124073,177743,154865
17,8,9,34,123490,176852,153988
18,9,8,35,122759,175762,152825
18,9,9,36,121864,174474,151413
18,9,10,37,120878,172900,149759
19,10,9,38,119805,171070,147942
20,10,9,39,118551,169151,145941
20,10,10,40,111636,167069,140166
20,10,11,41,104325,164862,134073
21,10,11,42,96712,152495,123690
22,11,10,43,88774,139590,113190
22,11,11,44,81120,126931,103032
22,11,12,45,73116,114470,93237
23,12,11,46,64761,102397,83846
24,12,11,47,57147,93591,75101
24,12,12,48,50193,85299,67011
24,12,13,49,44122,77448,59670
25,12,13,50,38880,70083,53120
26,13,12,51,34349,63364,47342
26,13,13,52,30348,57121,42178
26,13,14,53,26905,51493,37673
27,14,13,54,24029,46451,33775
28,14,13,55,21526,42053,30383
28,14,14,56,19301,38035,27371
28,14,15,57,17463,34507,24766
29,14,15,58,15838,31397,22483
30,15,14,59,14419,28698,20502
30,15,15,60,13146,26283,18750
30,15,16,61,11991,24159,17167
31,16,15,62,11001,22260,15738
32,16,15,63,10083,20589,14497
32,16,16,64,9227,19097,13357
32,16,17,65,8474,17720,12348
33,16,17,66,7795,16541,11488
34,17,16,67,7201,15429,10637
34,17,17,68,6631,14444,9914
34,17,18,69,6105,13521,9218
35,18,17,70,5592,12648,8557
36,18,17,71,5158,11879,8010
36,18,18,72,4753,11138,7469
36,18,19,73,4365,10458,6980
37,18,19,74,3996,9839,6497
38,19,18,75,3658,9230,6057
38,19,19,76,3371,8675,5692
38,19,20,77,3119,8132,5323
39,20,19,78,2856,7645,4933
40,20,19,79,2614,7186,4581
40,20,20,80,2383,6792,4308
40,20,21,81,2206,6404,4083
41,20,21,82,2007,6036,3834
42,21,20,83,1842,5676,3572
42,21,21,84,1689,5351,3385
42,21,22,85,1528,5039,3154
43,22,21,86,1399,4726,2910
44,22,21,87,1281,4464,2757
44,22,22,88,1189,4222,2654
44,22,23,89,1080,3972,2507
45,22,23,90,997,3729,2340
46,23,22,91,910,3483,2184
46,23,23,92,831,3283,1999
46,23,24,93,765,3075,1888
47,24,23,94,706,2921,1847
48,24,23,95,647,2732,1696
48,24,24,96,594,2575,1582
48,24,25,97,541,2431,1501
49,24,25,98,496,2296,1416
50,25,24,99,456,2151,1348
50,25,25,100,422,2024,1306
50,25,26,101,392,1882,1207
51,26,25,102,365,1762,1090
52,26,25,103,347,1653,1008
52,26,26,104,322,1567,959
52,26,27,105,296,1491,897
53,26,27,106,268,1405,847
54,27,26,107,251,1326,812
54,27,27,108,229,1245,763
54,27,28,109,216,1185,721
55,28,27,110,201,1111,683
56,28,27,111,184,1051,649
56,28,28,112,168,985,584
56,28,29,113,156,924,520
57,28,29,114,152,878,510
58,29,28,115,142,837,518
58,29,29,116,131,800,469
58,29,30,117,117,757,420
59,30,29,118,104,724,421
60,30,29,119,94,688,389
60,30,30,120,88,639,366
60,30,31,121,85,609,392
61,30,31,122,79,575,332
62,31,30,123,73,542,302
62,31,31,124,66,522,313
62,31,32,125,62,493,318
63,32,31,126,55,461,298
64,32,31,127,49,427,230
64,32,32,128,43,405,225
64,32,33,129,36,379,218
65,32,33,130,33,354,198
66,33,32,131,28,324,160
66,33,33,132,26,305,162
66,33,34,133,24,290,186
67,34,33,134,22,268,154
68,34,33,135,21,249,129
68,34,34,136,16,233,133
68,34,35,137,11,221,127
69,34,35,138,10,201,115
70,35,34,139,10,190,122
70,35,35,140,9,173,117
70,35,36,141,8,157,111
71,36,35,142,6,141,95
72,36,35,143,6,125,92
72,36,36,144,5,120,92
72,36,37,145,5,108,75
73,36,37,146,4,96,65
74,37,36,147,3,83,60
74,37,37,148,2,79,56
74,37,38,149,2,64,43
75,38,37,150,1,52,32
76,38,37,151,1,43,28
76,38,38,152,1,35,25
76,38,39,153,2,27,20
77,38,39,154,11,20,16
78,39,38,155,1,15,10
78,39,39,156,1,10,6
78,39,40,157,3,6,4
79,40,39,158,1,100,25
80,40,39,159,1,100,25
80,40,40,160,1,100,25
